SEC            ( Area cm2   I2 cm4   I3 cm4)
YG:168x10         49.64     1555.13   1555.13
YG:180x5.0        27.49     1053.17   1053.17
YG:180x5.5        30.15     1148.79   1148.79
YG:180x6.0        32.80     1242.72   1242.72
YG:180x6.5        35.43     1335.00   1335.00
YG:180x7.0        38.04     1425.63   1425.63
YG:180x7.5        40.64     1514.64   1514.64
YG:180x8.0        43.23     1602.04   1602.64
YG:180x10         53.41     1936.11   1936.11
YG:180x12         63.33     2245.84   2245.84
YG:194x5.0        27.69     1326.54   1326.54
YG:194x5.5        32.57     1447.86   1447.86
YG:194x6.0        35.44     1567.21   1567.21
YG:194x6.5        38.29     1684.21   1684.21
YG:194x7.0        41.12     1800.08   1800.08
YG:194x7.5        43.94     1913.64   1913.64
YG:194x8.0        46.75     2025.31   2025.31
YG:194x9.0        52.31     2243.08   2243.08
YG:194x10         57.81     2453.55   2453.55
YG:194x12         68.51     2853.25   2853.25
YG:203x6.0        37.13     1803.07   1803.07
YG:203x6.5        40.13     1938.81   1938.81
YG:203x7.0        43.10     2072.43   2072.43
YG:203x7.5        46.06     2203.94   2203.94
YG:203x8.0        49.01     2333.37   2333.37
YG:203x9.0        54.85     2586.08   2586.08
YG:203x10         60.63     2830.72   2830.72
YG:203x12         72.01     3296.49   3296.49
YG:203x14         83.13     3732.07   3732.07
YG:203x16         94.00     4138.78   4138.78
YG:219x6.0        40.15     2278.74   2278.74
YG:219x6.5        43.39     2451.64   2451.64
YG:219x7.0        46.62     2622.04   2622.04
YG:219x7.5        49.83     2789.96   2789.96
YG:219x8.0        53.03     2955.43   2955.43
YG:219x9.0        59.38     3279.12   3279.12
YG:219x10         65.66     3593.29   3593.29
YG:219x12         78.04     4193.81   4193.81
YG:219x14         90.16     4758.50   4758.50
YG:219x16         102.04    5288.81   5288.81
YG:245x6.5        48.70     3465.46   3465.46
YG:245x7.0        52.34     3709.06   3709.06
YG:245x7.5        55.96     3949.52   3949.52
YG:245x8.0        59.56     4186.87   4186.87
YG:245x9.0        66.73     4652.32   4652.32
YG:245x10         73.83     5105.63   5105.63
YG:245x12         87.84     5976.67   5976.67
YG:245x14         101.60    6801.68   6801.68
YG:245x16         115.11    7582.30   7582.30
YG:273x6.5        54.42     4834.18   4834.18
YG:273x7.0        58.50     5177.30   5177.30
YG:273x7.5        62.56     5516.47   5516.47
YG:273x8.0        66.60     5851.71   5851.71
YG:273x9.0        74.64     6510.56   6510.56
YG:273x10         82.62     7154.09   7154.09
YG:273x12         98.39     8396.14   8396.14
YG:273x14         114.91    9579.75   9579.75
YG:273x16         129.18    10706.79  10706.79
YG:299x7.5        68.68     7300.02   7300.02
YG:299x8.0        73.14     7747.42   7747.42
YG:299x9.0        82.00     8628.09   8628.09
YG:299x10         90.79     9490.15   9490.15
YG:299x12         108.20    11159.52  11159.52
YG:299x14         125.35    12757.61  12757.61
YG:299x16         142.25    14286.48  14286.48
YG:325x7.5        74.81     9431.80   9431.80
YG:325x8.0        79.67     10013.92  10013.92
YG:325x9.0        89.35     11161.33  11161.33
YG:325x10         98.96     12286.52  12286.52
YG:325x12         118.00    14471.45  14471.45
YG:325x14         136.78    16570.98  16570.98
YG:325x16         155.32    18587.38  18587.38
YG:351x8.0        86.21     12684.36  12684.36
